ID,OG_category,XENLA_GeneNames,HUMAN_GeneNames,OG_annotation,OG_category_annotation
ENOG411CP4H,S,"rhpn1.L, rhpn2.L, rhpn2.S","RHPN2P1, RHPN2, RHPN1","Rhophilin, Rho GTPase binding protein",Function Unknown
ENOG411CP4I,S,"arl14epl.L, arl14epl.S",ARL14EPL,ADP-ribosylation factor-like 14 effector protein-like,Function Unknown
ENOG411CP4J,Z,"myh1-2-1.S, myh1-2-1.L, Xelaev18002773m.g, myh8-like.L, myh1-3-1.L, myh1-3-2.L, myh7.L, Xetrov90025700m.L, Xelaev18039828m.g, myh1-3-1.S, myh7.S, myh7B.S, myh7B.L, myh1-2-2.L, myh1-2-2.S","MYH3, MYH7B","myosin, heavy chain",Cytoskeleton
ENOG411CP4K,S,"loc101733025.L, loc101732256-like.L, loc101733025.S",SHISAL1,kiaa1644,Function Unknown
ENOG411CP4M,T,"epha3.L, epha4.S, Xelaev18005896m.g, epha3.S, epha5.S","EPHA5, EPHA3, EPHA4",Eph receptor,Signal Transduction
ENOG411CP4N,O,txndc11.L,TXNDC11,thioredoxin domain containing 11,Post-translational modification
ENOG411CP4Q,T,"ralgapa1.S, ralgapa2.L, ralgapa2.S, ralgapa1.L","RALGAPA1, RALGAPA2","Ral GTPase activating protein, alpha subunit",Signal Transduction
ENOG411CP4R,O,usp14.L,USP14,ubiquitin specific peptidase 14 (tRNA-guanine transglycosylase),Post-translational modification
ENOG411CP4S,E,"gcat.S, gcat.L",GCAT,Glycine C-acetyltransferase,Amino Acid metabolis and transport
ENOG411CP4T,Z,haus8.L,HAUS8,"HAUS augmin-like complex, subunit 8",Cytoskeleton
ENOG411CP4U,B,"top2b-like.L, top2b-like.S","TOP2B, TOP2A",Control of topological states of DNA by transient breakage and subsequent rejoining of DNA strands. Topoisomerase II makes double-strand breaks (By similarity),Chromatin Structure and dynamics
ENOG411CP4V,G,"ganab.S, ganab.L, ganc.L","NA, GANC, GANAB","Glucosidase, alpha",Carbohydrate metabolism and transport
ENOG411CP4W,J,"xpot.S, xpot.L",XPOT,"exportin, tRNA",Tranlsation
ENOG411CP4Y,O,"loc100494811.L, loc100494811.S",NA,ring finger protein 182,Post-translational modification
ENOG411CP4Z,S,NA,PYGO2,Pygopus homolog 2 (Drosophila),Function Unknown
ENOG411CP50,T,NA,PXK,PX domain containing serine threonine kinase,Signal Transduction
ENOG411CP51,K,ctdsp2.S,CTDSP2,"CTD (Carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2",Transcription
ENOG411CP52,S,ubac2.L,UBAC2,UBA domain containing 2,Function Unknown
ENOG411CP54,T,"gabrp.L, Xetrov90017646m.L",GABRP,"gamma-aminobutyric acid (GABA) A receptor, pi",Signal Transduction
ENOG411CP55,U,"timm21.L, timm21.S",TIMM21,translocase of inner mitochondrial membrane 21 homolog (yeast),Intracellular trafficing and secretion
ENOG411CP56,U,"Xelaev18000056m.g, stx3.S",STX3,syntaxin 3,Intracellular trafficing and secretion
ENOG411CP57,T,"sh2b1.S, sh2b1.L, sh2b2.L, sh2b2.S","SH2B1, SH2B2",SH2B adaptor protein,Signal Transduction
ENOG411CP59,O,lcmt1.S,LCMT1,Leucine carboxyl methyltransferase 1,Post-translational modification
ENOG411CP5A,U,"Xelaev18001804m.g, bicd1.L, bicd1.S, Xelaev18002564m.g","BICD1, BICD2",bicaudal D homolog,Intracellular trafficing and secretion
ENOG411CP5B,T,"map3k12.S, map3k13.L, map3k12.L","MAP3K13, MAP3K12",Mitogen-activated protein kinase kinase kinase,Signal Transduction
ENOG411CP5D,S,nkap.L,NA,NFkB activating,Function Unknown
ENOG411CP5E,K,zbtb41.L,ZBTB41,Zinc finger and BTB domain containing 41,Transcription
ENOG411CP5F,P,nprl2.S,NPRL2,nitrogen permease regulator-like 2 (S. cerevisiae),Inorganic ion transport and metabolism
ENOG411CP5G,S,"Xelaev18000405m.g, znf622.L",ZNF622,Zinc finger protein 622,Function Unknown
ENOG411CP5H,Z,"Xelaev18040893m.g, Xelaev18020683m.g, myo1f.L, myo1f.S, Xelaev18018158m.g","MYO1F, MYO1E",myosin IE,Cytoskeleton
ENOG411CP5I,A,"prpf31.S, prpf31.L",PRPF31,PRP31 pre-mRNA processing factor 31 homolog (S. cerevisiae),RNA processing and modification
ENOG411CP5J,Q,NA,GSS,glutathione synthetase,Secondary Structure
ENOG411CP5M,J,mrps25.S,MRPS25,Mitochondrial ribosomal protein S25,Tranlsation
ENOG411CP5N,K,alg8.S,ALG8,"Asparagine-linked glycosylation 8, alpha-1,3-glucosyltransferase homolog (S. cerevisiae)",Transcription
ENOG411CP5P,A,NA,DIMT1,DIM1 dimethyladenosine transferase 1 homolog (S. cerevisiae),RNA processing and modification
ENOG411CP5Q,G,"lipg.S, lipg.L",LIPG,"Lipase, endothelial",Carbohydrate metabolism and transport
ENOG411CP5R,T,"gpr107.L, gpr107.S","GPR107, GPR108",G- protein-coupled receptor,Signal Transduction
ENOG411CP5S,T,"cabp7.S, cabp7.L",CABP7,calcium binding protein 7,Signal Transduction
ENOG411CP5T,S,NA,DCAF7,ddb1 and cul4 associated factor 7,Function Unknown
ENOG411CP5U,T,"cpne7.L, cpne4.S, cpne4.L, cpne7.S","CPNE4, CPNE7, CPNE6",copine IV,Signal Transduction
ENOG411CP5W,T,"rtn4rl1.L, rtn4rl1.S, rtn4rl2.L","RTN4RL1, RTN4RL2",Reticulon 4 receptor-like,Signal Transduction
ENOG411CP5X,S,ntan1.L,NTAN1,N-terminal asparagine amidase,Function Unknown
ENOG411CP5Y,T,"Xetrov90021454m.S, Xetrov90021454m.L",CEP170B,kiaa0284,Signal Transduction
ENOG411CP5Z,S,"Xelaev18042323m.g, fam122b.S, loc550042.L","FAM122A, FAM122B",family with sequence similarity,Function Unknown
ENOG411CP60,S,noa1.L,NOA1,nitric oxide associated 1,Function Unknown
ENOG411CP61,O,"galnt13.S, galnt13.L, Xelaev18003857m.g","GALNT1, GALNT13",UDP-N-acetyl-alpha-D-galactosamine polypeptide N-acetylgalactosaminyltransferase,Post-translational modification
ENOG411CP62,A,"elavl2.S, elavl4.S, elavl4.L","ELAVL2, ELAVL4","ELAV (embryonic lethal, abnormal vision, Drosophila)-like",RNA processing and modification
ENOG411CP63,K,cnot8.L,"CNOT8, CNOT7",CCR4-NOT transcription complex subunit,Transcription
ENOG411CP64,K,junb.L,JUNB,Jun B proto-oncogene,Transcription
ENOG411CP65,T,"dock6-like.S, dock6-like.L","DOCK7, DOCK6",dedicator of cyto-kinesis,Signal Transduction
ENOG411CP66,L,lig1.L,LIG1,"Ligase I, DNA, ATP-dependent",Replication and repair
ENOG411CP67,T,"ltk.L, alk.S, alk.L, ltk.S","ALK, LTK",receptor tyrosine kinase,Signal Transduction
ENOG411CP69,J,"mrps10.L, mrps10.S",MRPS10,mitochondrial ribosomal protein S10,Tranlsation
ENOG411CP6A,U,NA,RANBP1,Ran binding protein 1,Intracellular trafficing and secretion
ENOG411CP6B,T,"cd226.L, cd226.S",CD226,CD226 molecule,Signal Transduction
ENOG411CP6C,T,hspg2.L,HSPG2,heparan sulfate proteoglycan 2,Signal Transduction
ENOG411CP6D,W,"itga5.S, itga5.L",ITGA5,"Integrin, alpha 5 (Fibronectin receptor, alpha polypeptide)",NA
ENOG411CP6G,K,tceanc2.S,TCEANC2,transcription elongation factor A (SII) N-terminal and central domain containing 2,Transcription
ENOG411CP6H,T,"plekha1.S, plekha1.L",PLEKHA1,"pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1",Signal Transduction
ENOG411CP6J,K,"grhl1.L, grhl1.S, grhl2.S, grhl2.L","GRHL2, GRHL1",grainyhead-like 2 (Drosophila),Transcription
ENOG411CP6K,Z,"spdl1.L, spdl1.S",SPDL1,spindle apparatus coiled-coil protein 1,Cytoskeleton
ENOG411CP6M,T,"kndc1.L, kndc1.S",KNDC1,kinase non-catalytic C-lobe domain (KIND) containing 1,Signal Transduction
ENOG411CP6N,S,"ndrg2.S, ndrg2.L, Xelaev18022839m.g","NDRG2, NDRG4",NDRG family member,Function Unknown
ENOG411CP6R,O,"f12.L, hgfac.L, hgfac.S","HGFAC, F12",coagulation factor XII (Hageman factor),Post-translational modification
ENOG411CP6S,O,"tmx3.S, tmx3.L",TMX3,thioredoxin-related transmembrane protein 3,Post-translational modification
ENOG411CP6U,VW,"Xelaev18036111m.g, otog.S",OTOGL,Otogelin-like,NA
ENOG411CP6W,T,"gnai2.S, gnai2.L",GNAI2,"guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2",Signal Transduction
ENOG411CP6X,S,loc100490041.L,GLYATL3,glycine-N-acyltransferase-like 3,Function Unknown
ENOG411CP6Z,K,"setd7.S, setd7.L",SETD7,SET domain containing (lysine methyltransferase) 7,Transcription
ENOG411CP70,U,"spire2.S, spire1.S, spire1.L, spire2.L","SPIRE1, SPIRE2",spire homolog,Intracellular trafficing and secretion
ENOG411CP71,S,ccdc109b.S,MCUB,Coiled-coil domain containing 109B,Function Unknown
ENOG411CP72,G,NA,AQP3,Aquaporin 3 (Gill blood group),Carbohydrate metabolism and transport
ENOG411CP73,S,atxn1l.L,ATXN1L,ataxin 1-like,Function Unknown
ENOG411CP74,P,"kcnf1.L, kcnf1.S",KCNF1,"potassium voltage-gated channel, subfamily F, member 1",Inorganic ion transport and metabolism
ENOG411CP75,T,"chrnb3.L, chrna5-like.S, chrna5-like.L, chrnb3.S","CHRNA5, CHRNB3","cholinergic receptor, nicotinic",Signal Transduction
ENOG411CP76,T,"rps6ka6.S, rps6ka2.S, rps6ka6.L, rps6ka1.S","RPS6KA1, RPS6KA2, RPS6KA6","Ribosomal protein S6 kinase, 90kDa, polypeptide",Signal Transduction
ENOG411CP77,P,"loc100491983.1.L, loc100485121.S, kcnh7.S, loc100491983.S, Xelaev18003149m.g, loc100485121.L, Xelaev18032607m.g, kcnh7.L","KCNH7, KCNH2, KCNH6","Potassium voltage-gated channel, subfamily H (Eag-related), member",Inorganic ion transport and metabolism
ENOG411CP79,T,"loc100125055.L, galr2.L, loc100125055.S, galr3.S, galr3.L, galr2.S","GALR2, GALR3",Galanin receptor,Signal Transduction
ENOG411CP7A,S,ankrd13c.S,ANKRD13C,ankyrin repeat domain 13C,Function Unknown
ENOG411CP7B,O,heatr3.L,HEATR3,HEAT repeat containing 3,Post-translational modification
ENOG411CP7C,T,None,TNFSF13,Tumor necrosis factor (Ligand) superfamily member,Signal Transduction
ENOG411CP7D,T,"hgf.S, mst1.L, hgf.L, mst1.S","MST1L, MST1, HGF",hepatocyte growth factor (hepapoietin A,Signal Transduction
ENOG411CP7G,A,"march4.S, march11.S, march4.L","MARCH4, MARCH9, MARCH11",membrane-associated ring finger (C3HC4),RNA processing and modification
ENOG411CP7I,P,"slc17a5.S, slc17a5.L",SLC17A5,"solute carrier family 17 (anion sugar transporter), member 5",Inorganic ion transport and metabolism
ENOG411CP7J,K,"znf281.L, znf148.S, znf148.L, znf281.S","ZNF281, ZNF148",Zinc finger protein,Transcription
ENOG411CP7K,Z,sptbn5.L,SPTBN5,"spectrin, beta, non-erythrocytic 5",Cytoskeleton
ENOG411CP7M,S,fan1.L,FAN1,FANCD2 FANCI-associated nuclease 1,Function Unknown
ENOG411CP7N,S,"abhd8.S, abhd8.L",NA,Abhydrolase domain containing 8,Function Unknown
